<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HDB,20190702,26.50,26.85,26.25,26.50,1672670
HDB,20190701,27.50,27.50,26.70,26.90,1206760
HDB,20190628,27.50,27.50,25.90,27.50,1728220
HDB,20190627,26.55,26.80,26.45,26.55,720990
HDB,20190626,26.60,26.80,26.45,26.60,1348500
HDB,20190625,26.60,26.80,26.55,26.70,641150
HDB,20190624,26.70,26.80,26.55,26.65,846740
HDB,20190621,26.90,27.05,26.50,26.60,1912930
HDB,20190620,26.50,26.95,26.40,26.90,1786910
HDB,20190619,26.25,26.40,25.00,26.25,1856260
HDB,20190618,26.55,26.70,25.75,26.00,1248130
HDB,20190617,26.70,26.80,26.35,26.50,1006060
HDB,20190614,26.75,26.90,26.40,26.60,1780120
HDB,20190613,26.70,26.85,26.50,26.60,1028590
HDB,20190612,26.80,26.90,26.55,26.80,1192730
HDB,20190611,26.60,26.90,26.55,26.75,865430
HDB,20190610,26.90,27.00,26.45,26.80,1287780
HDB,20190607,26.75,26.90,26.50,26.90,941190
HDB,20190606,26.70,27.00,26.70,26.80,779490
HDB,20190605,26.65,26.95,26.60,26.90,1688710
HDB,20190604,26.60,26.80,26.30,26.60,1348200
HDB,20190603,27.25,27.25,26.45,26.75,1491650
HDB,20190531,27.25,27.40,26.90,27.30,1768000
HDB,20190530,26.90,27.40,26.80,27.35,2254410
HDB,20190529,26.80,27.05,26.50,26.95,1761010
HDB,20190528,26.90,27.00,26.40,26.90,1003730
HDB,20190527,26.50,27.00,26.45,26.95,961600
HDB,20190524,26.40,26.70,26.25,26.50,883450
HDB,20190523,27.00,27.05,26.20,26.50,1685350
HDB,20190522,27.00,27.20,26.85,27.00,665200
HDB,20190521,27.15,27.25,26.85,27.10,1555260
HDB,20190520,27.15,27.20,26.85,27.15,1315780
HDB,20190517,27.25,27.25,26.75,27.00,1413840
HDB,20190516,27.40,27.65,26.80,27.30,2217020
HDB,20190515,27.00,27.65,26.70,27.60,2499810
HDB,20190514,27.40,27.60,26.80,27.20,1545870
HDB,20190513,27.20,27.60,26.70,27.60,3370690
HDB,20190510,26.80,27.50,26.55,27.20,1642950
HDB,20190509,26.30,26.75,26.05,26.75,1578090
HDB,20190508,26.00,26.30,25.60,26.30,2118830
HDB,20190507,27.30,27.45,26.10,26.10,1855910
HDB,20190506,27.85,27.85,27.20,27.30,992700
HDB,20190503,28.05,28.10,27.60,28.00,1351590
HDB,20190502,28.20,28.20,27.80,28.05,1303850
HDB,20190426,28.25,28.30,28.00,28.10,944690
HDB,20190425,28.40,28.40,27.75,28.10,1239480
HDB,20190424,28.30,28.40,28.15,28.35,1127760
HDB,20190423,28.20,28.40,27.95,28.25,1394220
HDB,20190422,28.20,28.20,27.70,28.10,1243600
HDB,20190419,28.10,28.15,27.85,28.10,938990
HDB,20190418,28.30,28.40,27.90,28.10,1155030
HDB,20190417,28.70,28.85,28.50,28.50,1064030
HDB,20190416,27.65,28.60,27.50,28.60,1465250
HDB,20190412,27.95,28.05,27.50,27.70,1429660
HDB,20190411,28.20,28.30,27.95,27.95,1056670
HDB,20190410,28.55,28.60,28.00,28.10,1714100
HDB,20190409,28.90,29.25,28.45,28.75,1880540
HDB,20190408,29.10,29.15,28.75,28.90,1065960
HDB,20190405,29.10,29.25,28.90,29.25,1364970
HDB,20190404,28.50,29.25,28.50,29.20,1613920
HDB,20190403,28.50,28.55,28.15,28.25,1140200
HDB,20190402,29.60,29.70,28.50,28.80,1518730
HDB,20190401,30.00,30.05,29.50,29.55,1097250
HDB,20190329,30.00,30.20,29.75,30.00,1153030
HDB,20190328,30.20,30.70,30.00,30.15,1479130
HDB,20190327,30.35,30.55,30.05,30.35,1492830
HDB,20190326,30.30,30.65,30.20,30.30,1421400
HDB,20190325,30.30,30.70,30.05,30.30,1271210
HDB,20190322,31.00,31.40,30.80,31.00,1239450
HDB,20190321,31.75,31.95,30.95,31.00,972860
HDB,20190320,31.80,31.90,31.00,31.75,931480
HDB,20190319,31.80,32.35,31.80,31.90,1696390
HDB,20190318,31.90,32.30,31.65,31.80,1392510
HDB,20190315,30.90,31.95,30.85,31.80,3064820
HDB,20190314,31.00,31.05,30.70,30.90,1310490
HDB,20190313,30.90,31.25,30.90,31.00,2043280
HDB,20190312,30.40,31.00,30.30,30.90,1505510
HDB,20190311,30.50,30.50,30.10,30.40,626150
HDB,20190308,30.45,30.60,30.00,30.40,1212760
HDB,20190307,30.70,30.85,30.40,30.70,1620040
HDB,20190306,30.75,31.00,30.50,30.70,1108670
HDB,20190305,30.40,30.85,30.30,30.70,1303000
HDB,20190304,30.40,30.60,30.20,30.40,1085020
HDB,20190301,30.00,30.45,30.00,30.40,963400
HDB,20190228,30.60,30.60,30.00,30.00,1478660
HDB,20190227,30.65,30.75,30.50,30.60,951480
HDB,20190226,31.00,31.05,30.45,30.65,1122230
HDB,20190225,30.20,31.10,30.20,31.00,1776680
HDB,20190222,29.80,30.50,29.65,30.10,1237000
HDB,20190221,29.70,29.95,29.40,29.80,1427590
HDB,20190220,30.00,30.00,29.70,29.70,840490
HDB,20190219,30.60,30.60,29.75,30.00,1535000
HDB,20190218,30.40,30.65,30.15,30.60,1482140
HDB,20190215,30.80,30.80,30.20,30.40,1126100
HDB,20190214,31.10,31.25,30.60,30.80,944710
HDB,20190213,31.15,31.50,31.10,31.20,1299260
HDB,20190212,30.65,31.30,30.60,31.10,1889530
HDB,20190211,30.60,30.70,30.40,30.65,1150140
HDB,20190201,30.50,30.60,30.30,30.50,1336610
HDB,20190131,30.10,30.50,30.10,30.50,762510
HDB,20190130,30.00,30.05,29.85,30.00,768110
HDB,20190129,30.00,30.05,29.85,30.00,934570
HDB,20190128,29.95,30.10,29.80,30.00,876970
HDB,20190125,30.00,30.10,29.80,29.95,891440
HDB,20190124,30.00,30.15,29.70,29.95,725150
HDB,20190123,30.00,30.30,29.95,30.00,850650
HDB,20190122,29.70,30.35,29.70,30.10,1369310
HDB,20190121,29.15,29.70,29.10,29.65,1233280
HDB,20190118,29.00,29.40,28.90,29.10,1417600
HDB,20190117,29.20,29.20,28.90,28.90,998480
HDB,20190116,29.20,29.20,28.90,29.20,895390
HDB,20190115,29.20,29.25,28.95,29.20,717930
HDB,20190114,29.20,29.40,28.90,29.10,715340
HDB,20190111,29.00,29.50,28.95,29.20,2231760
